Date,Morning,Evening,Night
2020/8/7,0,0,4802
2020/8/8,2180,3664,10472
2020/8/9,667,4159,1006
2020/8/10,1271,1689,418
2020/8/11,1134,1100,8116
2020/8/12,0,44,0
2020/8/13,1330,1865,3091
2020/8/14,0,0,0
2020/8/15,3155,6112,3118
2020/8/16,1424,0,0
2020/8/17,1223,967,9102
2020/8/18,779,1410,3027
2020/8/19,443,0,330
2020/8/20,2137,231,10244
2020/8/21,1222,1240,3968
2020/8/22,0,69,217
2020/8/23,0,270,366
2020/8/24,783,756,9843
2020/8/25,1068,1567,7848
2020/8/26,979,1110,7046
2020/8/27,0,510,4978
2020/8/28,1368,1287,9160
2020/8/29,0,2082,2889
2020/8/30,6494,5236,7179
2020/8/31,3020,1516,2553
2020/9/1,1341,2314,2657
2020/9/2,1325,1562,8614
2020/9/3,889,2633,5425
2020/9/4,1366,1115,6392
2020/9/5,0,0,0
2020/9/6,0,0,0
2020/9/7,1371,913,2903
2020/9/8,1324,396,3223
2020/9/9,915,1178,4453
2020/9/10,0,0,2045
2020/9/11,686,1371,5220
